Date,,,,,,,Qty,Frac,Item,Unit,Cals,Carb,Fib.
,,,,,,,,2,Chorizo,75,338,1.1,0
,,,,,,,,2,Cod loin,125,98,0.2,0.2
,,,,,,,,2,Prawns,165,108,0.2,0
,,,,,,,47,2,Green beans,1,32,3.1,3.4
,,,,,,,,2,"Chopped tomatoes, carton",400,20,3,0.9
,,,,,,,,2,"Rice, Basmati micro",250,168,30.5,1.4
,,,,,,,,,"Protein yoghurt, blueberry",200,62,5.3,0
19/07/19,,,,,,,2,,Poached egg,50,143,0.7,0
,,,,,,,2,,Thins,40,225,38.6,3.5
,,,,,,,,,"Soup, butternut squash",600,37,4.9,1.1
,,,,,,,2,,"Oranges, easy peelers",60,43,9.1,0
,,,,,,,2,,Coffee milk,60,37,5.2,0
,,,,,,,2,,"Half sugar, half teaspoon",2,400,98.9,0
,,,,,,,300,,"Ginger beer, diet",1,1.7,0,0
,,,,,,,,3,Chicken crown,525,160,0.1,0
,,,,,,,2,,"Yorkshires, ""giant""",45,278,42.2,2.6
,,,,,,,,,"Veg, micro",240,37,4.4,2.8
,,,,,,,,2,Gravy granules,12,400,61.6,2.1
,,,,,,,115,,"Sorbet, gin and tonic",1,99,20.9,0
20/07/19,,,,,,,120,,Steak,1,192,0.2,0.2
,,,,,,,50,,Chips,1,208,31,2.9
,,,,,,,,2,Pepper,115,32,7.6,1.4
,,,,,,,,4,Onion,240,34.8,7.8,1.5
,,,,,,,30,2,Spray oil,0.2,2,0.3,0.1
,,,,,,,2,,Coffee milk,60,37,5.2,0
,,,,,,,1.5,,"Half sugar, half teaspoon",2,400,98.9,0
,,,,,,,,,Tossed wrap,100,210,61,6.3
,,,,,,,,,Carrot/apple/ginger smoothie,100,120,26,1.6
,,,,,,,,,"Skinny caramel latte, Costas",387,67,12.5,2.8
,,,,,,,100,,Cottage cheese,1,75,6.4,0.1
,,,,,,,100,,Coleslaw,1,181,5.4,1.5
,,,,,,,90,,Tomato,1,20,3.1,1
,,,,,,,300,,"Ginger beer, diet",1,1.7,0,0
,,,,,,,,,"Protein yoghurt, passionfruit",200,70,6.8,0
,,,,,,,90,,Pear,1,40,10,1.6
21/07/19,,,,,,,2,,Deli wraps,61.2,304,50.2,6.2
,,,,,,,45,,Goats cheese,1,291,1,0
,,,,,,,,,Sweet'n'crispy salad (mostly no mayo),220,102,4.4,0
,,,,,,,75,,Strawberries,1,33,6.1,0
,,,,,,,160,,New potatoes,1,81,17.5,1.6
,,,,,,,,2,Cod loin,250,98,0.2,0.2
,,,,,,,,2,Prawns,165,108,0.2,0
,,,,,,,600,,"Ginger beer, diet",1,1.7,0,0
,,,,,,,,,"Veg, micro",240,37,4.4,2.8
,,,,,,,150,,"Ice cream, salted caramel",1,128,20,0
22/07/19,,,,,,,,,Vegetable Singapore Noodles,350,102,10.4,1.6
,,,,,,,0,,Sweet pancakes,0,0,0,0
,,,,,,,300,,"Tonic water, diet",1,2,0,0
,,,,,,,150,4,Self raising flour,1,335,69.9,3.7
,,,,,,,,4,"Baking powder, tsp",4,148,31.7,4
,,,,,,,,4,"Vanilla bean paste, tsp",5,340,60,0
,,,,,,,,4,"Bicarbonate of soda, tsp",5,0,0,0
